Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,isAlone,AgeBin,FareBin,Sex_male,Sex_female,Embarked_S,Embarked_C,Embarked_Q,Pclass_3,Pclass_1,Pclass_2,Title_Mr,Title_Miss,Title_Master,Title_rare
0,3,male,0.33415918240941467,1,0,0.029115738554643292,S,Mr,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
1,1,female,0.5819139052338185,1,0,0.286271162222373,C,Mr,2,0,3,4,0,1,0,1,0,0,1,0,1,0,0,0
1,3,female,0.39609786311551565,0,0,0.031826514213179044,S,Miss,1,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0
1,1,female,0.5354598947042428,1,0,0.21324768513814604,S,Mr,2,0,3,4,0,1,1,0,0,0,1,0,1,0,0,0
0,3,male,0.5354598947042428,0,0,0.03232850970550048,S,Mr,1,1,3,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.03396822778161922,Q,Mr,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0
0,1,male,0.8296686280582224,0,0,0.20827792976416382,S,Mr,1,1,4,4,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.02446577887890988,3,1,0.08463644000539412,S,Master,5,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0
1,3,female,0.41158253329204086,0,2,0.044710931317297954,S,Mr,3,0,2,2,0,1,1,0,0,1,0,0,1,0,0,0
1,2,female,0.21028182099721276,1,0,0.12076324840399551,C,Mr,2,0,0,3,0,1,0,1,0,0,0,1,1,0,0,0
1,3,female,0.05543511923196036,1,1,0.06706659777414385,S,Miss,3,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
1,1,female,0.8916073087643234,0,0,0.10662384256907302,S,Miss,1,1,4,3,0,1,1,0,0,0,1,0,0,1,0,0
0,3,male,0.3031898420563642,0,0,0.03232850970550048,S,Mr,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.5973985754103438,1,5,0.1255992721788233,S,Mr,7,0,3,3,1,0,1,0,0,1,0,0,1,0,0,0
0,3,female,0.21028182099721276,0,0,0.031542183966328186,S,Miss,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
1,2,female,0.8451532982347476,0,0,0.06425542301714382,S,Mr,1,1,4,2,0,1,1,0,0,0,0,1,1,0,0,0
0,3,male,0.02446577887890988,4,1,0.1169649497108946,Q,Master,6,0,0,3,1,0,0,0,1,1,0,0,0,0,1,0
1,2,male,0.45803654382161657,0,0,0.052207531201429354,S,Mr,1,1,2,2,1,0,1,0,0,0,0,1,1,0,0,0
0,3,female,0.47352121399814184,1,0,0.0722873508942868,S,Mr,2,0,3,2,0,1,1,0,0,1,0,0,1,0,0,0
1,3,female,0.32641684732115206,0,0,0.029015339456179005,C,Mr,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
0,2,male,0.5354598947042428,0,0,0.10441506240285871,S,Mr,1,1,3,3,1,0,1,0,0,0,0,1,1,0,0,0
1,2,male,0.5199752245277175,0,0,0.052207531201429354,S,Mr,1,1,3,2,1,0,1,0,0,0,0,1,1,0,0,0
1,3,female,0.225766491173738,0,0,0.0322449776555782,Q,Miss,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
1,1,male,0.4270672034685661,0,0,0.14256671981928784,S,Mr,1,1,2,3,1,0,1,0,0,0,1,0,1,0,0,0
0,3,female,0.11737379993806132,3,1,0.08463644000539412,S,Miss,5,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
1,3,female,0.5819139052338185,1,5,0.1260510681219126,S,Mr,7,0,3,3,0,1,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.029015339456179005,C,Mr,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,male,0.28770517187983896,3,2,1.0,S,Mr,6,0,0,4,1,0,1,0,0,0,1,0,1,0,0,0
1,3,female,0.32641684732115206,0,0,0.03164258306479247,Q,Miss,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0
0,3,male,0.3806131929389904,0,0,0.031709248066172764,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,1,male,0.612883245586869,0,0,0.11132573314835252,C,rare,1,1,3,3,1,0,0,1,0,0,1,0,0,0,0,1
1,1,female,0.5354598947042428,1,0,0.5884222490506454,C,Mr,2,0,3,4,0,1,0,1,0,0,1,0,1,0,0,0
1,3,female,0.32641684732115206,0,0,0.031123720523929036,Q,Miss,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
0,2,male,1.0,0,0,0.04216762135500063,S,Mr,1,1,4,1,1,0,1,0,0,0,0,1,1,0,0,0
0,1,male,0.4270672034685661,1,0,0.32999496960357005,C,Mr,2,0,2,4,1,0,0,1,0,0,1,0,1,0,0,0
0,1,male,0.6438525859399195,1,0,0.20883012480571742,S,Mr,2,0,4,4,1,0,1,0,0,0,1,0,1,0,0,0
1,3,male,0.3806131929389904,0,0,0.029032206504721002,C,Mr,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,male,0.3186745122328894,0,0,0.03232850970550048,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,female,0.2722205017033137,2,0,0.0722873508942868,S,Miss,3,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
1,3,female,0.21028182099721276,1,0,0.0451462618082391,C,Miss,2,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0
0,3,female,0.612883245586869,1,0,0.03805125831796485,S,Mr,2,0,3,1,0,1,1,0,0,1,0,0,1,0,0,0
0,2,female,0.41158253329204086,1,0,0.08433524271000126,S,Mr,2,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.031709248066172764,C,Mr,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
1,2,female,0.03995044905543512,1,2,0.16698056779465165,C,Miss,4,0,0,4,0,1,0,1,0,0,0,1,0,1,0,0
1,3,female,0.28770517187983896,0,0,0.03164258306479247,Q,Miss,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
0,3,male,0.3806131929389904,0,0,0.03232850970550048,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
